resc,labelDe,labelEn
http://dbpedia.org/resource/Hoysala_Empire,Hoysala,Hoysala Empire
http://dbpedia.org/resource/Hoysala_Empire,Hoysala,ಹೊಯ್ಸಳ ಸಾಮ್ರಾಜ್ಯ
http://dbpedia.org/resource/Indian_Territory,Indianer-Territorium,Oklahoma
http://dbpedia.org/resource/Indian_Territory,Indianer-Territorium,Indian Territory
http://dbpedia.org/resource/Italian_East_Africa,Italienisch-Ostafrika,Italian East Africa
http://dbpedia.org/resource/Italian_East_Africa,Italienisch-Ostafrika,Africa Orientale Italiana
http://dbpedia.org/resource/Jin_dynasty_(1115–1234),Jin-Dynastie (1125–1234),Jin dynasty
http://dbpedia.org/resource/Jin_dynasty_(1115–1234),Jin-Dynastie (1125–1234),"Jin dynasty, 1115–1234"
http://dbpedia.org/resource/Jin_dynasty_(1115–1234),Jin-Dynastie (1125–1234),65px
http://dbpedia.org/resource/Jin_dynasty_(265–420),Jin-Dynastie (265–420),Jin dynasty
http://dbpedia.org/resource/Jin_dynasty_(265–420),Jin-Dynastie (265–420),Jin
http://dbpedia.org/resource/Jupiter,Jupiter (Planet),Jupiter
http://dbpedia.org/resource/Labrador,Labrador (Kanada),Labrador
http://dbpedia.org/resource/Lepontine_Alps,Lepontinische Alpen,Lepontine Alps
http://dbpedia.org/resource/Liu_Song_dynasty,Frühere Song-Dynastie,Song
http://dbpedia.org/resource/Liu_Song_dynasty,Frühere Song-Dynastie,Liu Song
http://dbpedia.org/resource/Liu_Song_dynasty,Frühere Song-Dynastie,宋
http://dbpedia.org/resource/Lower_Canada,Niederkanada,Lower Canada
http://dbpedia.org/resource/Lower_Canada,Niederkanada,Province of Lower Canada
http://dbpedia.org/resource/Lower_Canada,Niederkanada,Province du Bas-Canada
http://dbpedia.org/resource/Lullingstone_Roman_Villa,Römische Villa bei Lullingstone,Lullingstone Roman Villa
http://dbpedia.org/resource/Macedonia_(ancient_kingdom),Makedonien (antikes Königreich),Macedonia
http://dbpedia.org/resource/Macedonia_(ancient_kingdom),Makedonien (antikes Königreich),Macedon
http://dbpedia.org/resource/Macedonia_(ancient_kingdom),Makedonien (antikes Königreich),Μακεδονία
http://dbpedia.org/resource/Maritime_Alps,Seealpen,Maritime Alps
http://dbpedia.org/resource/Moldavia,Fürstentum Moldau,Moldavia
http://dbpedia.org/resource/Moldavia,Fürstentum Moldau,Principality of Moldavia
http://dbpedia.org/resource/Monticello,Monticello (Virginia),Monticello
http://dbpedia.org/resource/Netherlands_New_Guinea,Niederländisch-Neuguinea,Netherlands New Guinea
http://dbpedia.org/resource/Netherlands_New_Guinea,Niederländisch-Neuguinea,Nederlands-Nieuw-Guinea
http://dbpedia.org/resource/New_Netherland,Nieuw Nederland,New Netherland
http://dbpedia.org/resource/New_Netherland,Nieuw Nederland,Nieuw-Nederland
http://dbpedia.org/resource/Oregon_Trail,Oregon Trail,The Oregon Trail
http://dbpedia.org/resource/Organisation_of_African_Unity,Organisation für Afrikanische Einheit,Organisation of African Unity
http://dbpedia.org/resource/Organisation_of_African_Unity,Organisation für Afrikanische Einheit,Organisation for African Unity
http://dbpedia.org/resource/Organisation_of_African_Unity,Organisation für Afrikanische Einheit,Organisation de l'Unité Africaine
http://dbpedia.org/resource/Organisation_of_Islamic_Cooperation,Organisation für Islamische Zusammenarbeit,OIC
http://dbpedia.org/resource/Overijssel,Provinz Overijssel,Overijssel
http://dbpedia.org/resource/Palace_of_Versailles,Schloss Versailles,Palace of Versailles
http://dbpedia.org/resource/Palace_of_Versailles,Schloss Versailles,Château de Versailles
http://dbpedia.org/resource/Peckforton_Castle,Peckforton Castle,Peckforton Castle
http://dbpedia.org/resource/Pennine_Alps,Walliser Alpen,Pennine Alps
http://dbpedia.org/resource/Petra,Petra (Jordanien),Petra
http://dbpedia.org/resource/Petra,Petra (Jordanien),Raqmu
http://dbpedia.org/resource/Pluto,Pluto,Pluto
http://dbpedia.org/resource/Sangre_de_Cristo_Range,Sangre de Cristo Range,Sangre de Cristo Range
http://dbpedia.org/resource/Saturn,Saturn (Planet),Saturn
http://dbpedia.org/resource/Scutum,Schild (Sternbild),Scutum
http://dbpedia.org/resource/Seine,Seine,Seine
http://dbpedia.org/resource/Seine,Seine,La Seine
http://dbpedia.org/resource/Sevastopol,Sewastopol,Sevastopol
http://dbpedia.org/resource/Shang_dynasty,Shang-Dynastie,Shang dynasty
http://dbpedia.org/resource/Silk_Road,Seidenstraße,Silk Road
http://dbpedia.org/resource/Sindh,Sindh,Sindh
http://dbpedia.org/resource/Sindh,Sindh,سنڌ
http://dbpedia.org/resource/Snowy_Mountains,Snowy Mountains,Snowy Mountains
http://dbpedia.org/resource/Song_dynasty,Song-Dynastie,Song dynasty
http://dbpedia.org/resource/Song_dynasty,Song-Dynastie,Northern Song dynasty
http://dbpedia.org/resource/South-West_Africa,Südwestafrika,South-West Africa
http://dbpedia.org/resource/South-West_Africa,Südwestafrika,Suidwes-Afrika
http://dbpedia.org/resource/South-West_Africa,Südwestafrika,Südwestafrika
http://dbpedia.org/resource/South-West_Africa,Südwestafrika,Zuidwest-Afrika
http://dbpedia.org/resource/Spica,Spica,Spica
http://dbpedia.org/resource/Tajiks,Tadschiken,Tajik people
http://dbpedia.org/resource/Tajiks,Tadschiken,Тоҷик
http://dbpedia.org/resource/Tajiks,Tadschiken,تاجیک
http://dbpedia.org/resource/Tang_dynasty,Tang-Dynastie,Tang dynasty
http://dbpedia.org/resource/Tau_Ceti,Tau Ceti,Tau Ceti
http://dbpedia.org/resource/Taurus_(constellation),Stier (Sternbild),Taurus
http://dbpedia.org/resource/Telescopium,Teleskop (Sternbild),Telescopium
http://dbpedia.org/resource/Telesto_(moon),Telesto (Mond),Telesto
http://dbpedia.org/resource/Tennessee,Tennessee,State of Tennessee
http://dbpedia.org/resource/Tenochtitlan,Tenochtitlan,Tenochtitlan
http://dbpedia.org/resource/Tenochtitlan,Tenochtitlan,Mexico-Tenochtitlan
http://dbpedia.org/resource/Thirteen_Colonies,Dreizehn Kolonien,Thirteen Colonies
http://dbpedia.org/resource/Thuban,Thuban,"Thuban, α Dra"
http://dbpedia.org/resource/Tower_of_London,Tower of London,Tower of London
http://dbpedia.org/resource/Triangulum_Australe,Südliches Dreieck,Triangulum Australe
http://dbpedia.org/resource/Triton_(moon),Triton (Mond),Triton
http://dbpedia.org/resource/Tucana,Tukan (Sternbild),Tucana
http://dbpedia.org/resource/Umbriel_(moon),Umbriel,Umbriel
http://dbpedia.org/resource/United_Kingdom_of_the_Netherlands,Königreich der Vereinigten Niederlande,Netherlands
http://dbpedia.org/resource/United_Kingdom_of_the_Netherlands,Königreich der Vereinigten Niederlande,Kingdom of the Netherlands
http://dbpedia.org/resource/United_Nations_Interim_Administration_Mission_in_Kosovo,United Nations Interim Administration Mission in Kosovo,Kosovo
http://dbpedia.org/resource/United_States_Minor_Outlying_Islands,United States Minor Outlying Islands,United States Minor Outlying Islands
http://dbpedia.org/resource/Uranus,Uranus (Planet),Uranus
http://dbpedia.org/resource/Ursa_Major,Großer Bär,Ursa Major
http://dbpedia.org/resource/Ursa_Minor,Kleiner Bär,Ursa Minor
http://dbpedia.org/resource/Vega,Wega,Vega
http://dbpedia.org/resource/Vela_(constellation),Segel des Schiffs,Vela
http://dbpedia.org/resource/Vermont,Vermont,State of Vermont
http://dbpedia.org/resource/Virginia,Virginia,Commonwealth of Virginia
http://dbpedia.org/resource/Virgo_(constellation),Jungfrau (Sternbild),Virgo
http://dbpedia.org/resource/Volksmarine,Volksmarine,Volksmarine
http://dbpedia.org/resource/Volksmarine,Volksmarine,People's Navy
http://dbpedia.org/resource/Wall_Street,Wall Street,Wall Street
http://dbpedia.org/resource/West_Berlin,West-Berlin,West Berlin
http://dbpedia.org/resource/West_Berlin,West-Berlin,''West-Berlin
http://dbpedia.org/resource/West_Berlin,West-Berlin,Berlin (West)''
http://dbpedia.org/resource/West_Virginia,West Virginia,State of West Virginia
http://dbpedia.org/resource/Western_European_Union,Westeuropäische Union,Western European Union
http://dbpedia.org/resource/Western_European_Union,Westeuropäische Union,WEU
http://dbpedia.org/resource/Western_European_Union,Westeuropäische Union,Union de l'Europe occidentale
http://dbpedia.org/resource/Western_Xia,Westliche Xia-Dynastie,Western Xia
http://dbpedia.org/resource/Western_Xia,Westliche Xia-Dynastie,80px
http://dbpedia.org/resource/Western_Xia,Westliche Xia-Dynastie,西夏
http://dbpedia.org/resource/Westminster_Abbey,Westminster Abbey,Westminster Abbey
http://dbpedia.org/resource/Westminster_Abbey,Westminster Abbey,Collegiate Church of St Peter at Westminster
http://dbpedia.org/resource/Whidbey_Island,Whidbey Island,Whidbey Island
http://dbpedia.org/resource/Wyoming,Wyoming,State of Wyoming
http://dbpedia.org/resource/Xia_dynasty,Xia-Dynastie,Xia dynasty
http://dbpedia.org/resource/Xia_dynasty,Xia-Dynastie,Xia
http://dbpedia.org/resource/Zhou_dynasty,Zhou-Dynastie,Zhou dynasty
http://dbpedia.org/resource/1681_Steinmetz,(1681) Steinmetz,1681 Steinmetz
http://dbpedia.org/resource/1703_Barry,(1703) Barry,1703 Barry
http://dbpedia.org/resource/1817_Katanga,(1817) Katanga,1817 Katanga
